name,address,details,about,city,micromarket,img1,img2,price
Awfis Sector 44,"Sector 44, Gurugram","Dedicated Desk - starting from
₹8,500
/Seat
Enquire | Private Cabin - starting from
₹9,000
/Seat
Enquire","Awfis Sector-44 is a pro-coworking center ideal for teams of all sizes. It boasts of 130 workstations and 2 meeting rooms packed with state-of-the-art amenities to grow your business. Located near Huda City Metro Station, this space has close proximity to Leisure Valley Grounds, Kingdom of Dreams and other modes of local transport. Domestic and International Airports are 18km away from the center.",Gurgaon,Sector 44,https://img.cofynd.com/images/original/afd42df08f7b3715189d483a946a9fb0e3f658fb.jpg,https://img.cofynd.com/images/original/c546e080dc1b9917a537f504a53df614d1b67084.jpg,8500.0
CoworkInsta DLF Phase 4,"DLF Phase - 4, Gurugram","Hot Desk - starting from
₹6,500
/Seat
Enquire | Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Private Cabin - starting from
₹7,500
/Seat
Enquire | Virtual Office - ₹17,000/ Year
Enquire","CoworkInsta is an affordable coworking space located near Huda City Metro Station. It offers Open Desks, Dedicated Desks, Private Cabins equipped with all the office amenities like High-Speed Internet, Reprographics area, Unlimited Green Tea/Coffee/Tea, Ample Parking Space for 1000+ cars with no parking charges, Collaborative Staff and a lot more. Located in a prime location, it has easy access to nearby markets like Galleria, Vyapar Kendra and metro stations like Huda City Centre, Iffco Chow...",Gurgaon,Dlf Phase 4,https://img.cofynd.com/images/original/528b86699c8bce851c0519a0c0164a99c21b9ce5.jpg,https://img.cofynd.com/images/original/2e92b9e182b49de7f81c26ca35a105e81bf1a6e2.jpg,7000.0
Awfis Unitech Cyber Park,"Tower-B Sector - 39, Gurugram","Private Cabin - starting from
₹10,000
/Seat
Enquire | Dedicated Desk - starting from
₹9,500
/Seat
Enquire","Awfis, Unitech Cyber Park is a state of the art coworking space spread over 21,000 sq.ft. The seating plan comprises Shared Desks, Private Cabins equipped with all premium office amenities required to grow your business. Its collaboration zones comprises Meeting, Conference Rooms, Lounges and Pods to increase your productivity. This Space has a capacity of 200+ seats, 5 Meeting Rooms and a large Collab area. Strategically located in Unitech Cyber Park, it offers easy access to Huda City Metro St...",Gurgaon,Towerb Sector 39,https://img.cofynd.com/images/original/12fc1e57f95ad74f52ecf88725432393f1a56426.jpg,https://img.cofynd.com/images/original/edd15d67f10a51d53a70f66a258fd5e8e797b734.jpg,9500.0
Altf MG Road,"JMD Empire Square, Gurugram","Dedicated Desk - starting from
₹11,000
/Seat
Enquire | Private Cabin - starting from
₹12,000
/Seat
Enquire | Hot Desk - starting from
₹10,000
/Seat
Enquire | Virtual Office - ₹25,000/ Year
Enquire",AltF Empire Square is located on the popular MG Road and has various flexible seating arrangements to choose from. It provides you with everything that your business needs to succeed. It is strategically placed opposite the Metro Station and also has free parking spaces available.,Gurgaon,Jmd Empire Square,https://img.cofynd.com/images/original/fbd95a142d1df9611447d98bcc186e4bef53f97c.jpg,https://img.cofynd.com/images/original/ad5ae40ab9aa2afbcf4d090ccab6bbb4c19ff5c2.jpg,11000.0
India Accelerator MG Road,"MGF Metropolis Mall, Gurugram","Hot Desk - starting from
₹13,000
/Seat
Enquire | Dedicated Desk - starting from
₹14,000
/Seat
Enquire | Private Cabin - starting from
₹16,000
/Seat
Enquire","If you’re looking for a well-maintained coworking space, then India Accelerator MG Road has the space for you. It’s home to some of the biggest names in the industry and offers amenities such as high-speed wifi, conference rooms, cafeteria, biometric access, power backup, meeting reservation system and many more. It has walking distance from the MG Road Metro Station.",Gurgaon,Mgf Metropolis Mall,https://img.cofynd.com/images/original/e38aba6f636873daba5d3562f2705583cba27839.jpg,https://img.cofynd.com/images/original/cc84ef1cd9e3e2ae89d023e0417fbbb74f15f5c8.jpg,14000.0
CO-OFFIZ Golf Course Extension,"Golf Course Extension, Gurugram","Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Private Cabin - starting from
₹8,000
/Seat
Enquire","Co-offiz coworking, Magnum Towers is located in Golf Course Extension Road Gurugram. It's offering open seats, dedicated desks, and cabin spaces best suited for you. It’s an ideal business center for Entrepreneurs, Small and Medium Enterprises as well as Corporates.",Gurgaon,Golf Course Road,https://img.cofynd.com/images/original/d76cf8783a905b3c915581b2fe90ab9ce6a7a582.jpg,https://img.cofynd.com/images/original/278d9488bc0247c8aa6f5d323986ab96661dcafe.jpg,7000.0
WeWork Forum,"DLF Cyber City, Gurugram","Dedicated Desk - starting from
₹28,000
/Seat
Enquire | Private Cabin - starting from
₹30,000
/Seat
Enquire","Located amid the country’s top finance and technology firms, WeWork Forum at DLF Cyber City has everything your business needs to thrive. The entire seven-floor building is dedicated to WeWork, allowing you to move easily between the art-filled lounge areas, dedicated desks, private offices, collaborative workspaces, event spaces, modern conference rooms and refreshing outdoor area. Onsite parking and the nearby IndusInd Bank Rapid Metro Station make commuting a breeze. After work, one ...",Gurgaon,Dlf Cyber City,https://img.cofynd.com/images/original/2afc37c8a93c2a663d599b6b6121e2bfd60111f1.jpg,https://img.cofynd.com/images/original/e6b9da037f381f88bcced9b81d4e1364ce6b1c26.jpg,28000.0
TRIOS - Akaya One - Gurgaon,"Sector 32, Gurgaon","Dedicated Desk - starting from
₹8,500
/Seat
Enquire | Private Cabin - starting from
₹8,500
/Seat
Enquire","cutting-edge workspace at this prime location seamlessly blends modern design with functional amenities. Enjoy a collaborative environment, private offices, state-of-the-art meeting rooms, and unparalleled business support. Elevate your work experience and productivity at Akaya One, where innovation meets convenience. thrive in a workspace that redefines success in the heart of Gurgaon",Gurgaon,Sector 32,https://img.cofynd.com/images/latest_images_2024/db849461bef82c0e8bd07bb617189860904d4f83.webp,https://img.cofynd.com/images/latest_images_2024/3e83942e0caf0cc7649ae127af7dc168278a1be6.webp,8500.0
AltF Golf Course Extension,"Golf Course Extension, Gurugram","Hot Desk - starting from
₹6,000
/Seat
Enquire | Dedicated Desk - starting from
₹6,500
/Seat
Enquire | Private Cabin - starting from
₹7,000
/Seat
Enquire","AltF Success Tower, located on Sector-65 Golf Course Extension Road Gurgaon. It has various seating arrangements to choose from. Enjoy a wide range of amenities such as central air conditioning, complete power backup, F&B services, housekeeping and high-speed internet to name a few. It’s in close proximity to the closest Rapid Metro and also has ample parking available around the premises.",Gurgaon,Golf Course Road,https://img.cofynd.com/images/original/43f2b104970744e12e0598cb5962451632d23a85.jpg,https://img.cofynd.com/images/original/be80e7b4ed3680f35d19c35537ae563ac219db4e.jpg,6500.0
AltF Megacity MG Road,"MGF Megacity, Gurugram","Dedicated Desk - starting from
₹12,500
/Seat
Enquire | Private Cabin - starting from
₹12,500
/Seat
Enquire | Hot Desk - starting from
₹12,500
/Seat
Enquire","Altf Coworking MGF Megacity is a beautifully designed coworking space located in MGF City mall near MG Road. Whether you are a freelancer, entrepreneur, working professional, or a small/large organization this coworking space has a special space for everyone. Moreover, this workplace is just 400m away from Sikanderpur metro station which lies on the Yellow line. This workspace offers a wide range of seating arrangements such as hot desks, dedicated desks, private cabins, manager cabins, confe...",Gurgaon,Mgf Megacity,https://img.cofynd.com/images/original/68189417a2a5ad700ec940844054f46c11645783.jpg,https://img.cofynd.com/images/original/86359c317e66743fc56693171f3fcae95fdf9e84.jpg,12500.0
Skootr DLF Cyber City,"Infinity Tower, Gurugram","Private Cabin - starting from
₹25,000
/Seat
Enquire","Skootr in Cyber City, is located in one of the most renowned corporate complex- DLF Infinity Tower. This centre is spread over 20,000 sq.ft.with seating capacity of more than 300 seats. With their smart technology workspaces, high-grade infrastructure and state of the art amenities, they offer the “Headquarters as a Service” for Enterprises. It's in close proximity to Vodafone Belvedere Towers Rapid Metro Station and 5 Star Hotels.",Gurgaon,Infinity Tower,https://img.cofynd.com/images/original/ef2111d7e553ef3529291ae00f90ec623a855701.jpg,https://img.cofynd.com/images/original/e72a007f62a143badcc8fa3035f0871d358be397.jpg,25000.0
ReOffice Nirvana Courtyard,"Nirvana Courtyard, Gurugram","Hot Desk - starting from
₹5,199
/Seat
Enquire | Private Cabin - starting from
₹6,299
/Seat
Enquire | Virtual Office - ₹18,000/ Year
Enquire","ReOffice, Nirvana Courtyard is a creative and intelligently designed workspace. You can choose from a Private Cabin or a Conference Room. This coworking centre has been built thoughtfully for members to meet, network and cowork. It provides state of the art amenities to foster your productivity and has good connectivity to various locations like Sohna Road, Golf Course Extension Road and HUDA City Metro Station.",Gurgaon,Nirvana Courtyard,https://img.cofynd.com/images/original/0d86b9f83155ff14729872f1fdd1b706738e3b75.jpg,https://img.cofynd.com/images/original/0893e27888f5730de247e5f561762ab026db0aa6.jpg,18000.0
Startup Office 101,"Centrum Plaza Golf Course Road, Gurugram","Dedicated Desk - starting from
₹12,000
/Seat
Enquire | Private Cabin - starting from
₹15,000
/Seat
Enquire | Virtual Office - ₹20,000/ Year
Enquire","Startup Office 101 is located at a prestigious location on Golf Course Road, Gurgaon. The workspace is easily accessible by being situated right next to Sector 54 Metro Station. It also offers perks such as high-speed internet, free access to the premises and a space-friendly commercial building with unlimited tea or coffee.",Gurgaon,Golf Course Road,https://img.cofynd.com/images/original/8b2eb9cdb12ea332a8a815c2644c3982cc3f7c79.jpg,https://img.cofynd.com/images/original/dc6dbd0d699ef208aa4d64ea7ef9eedd906ee63e.jpg,12000.0
ReOffice Good Earth City Centre,"Good Earth City Centre, Gurugram","Hot Desk - starting from
₹5,500
/Seat
Enquire | Dedicated Desk - starting from
₹6,000
/Seat
Enquire | Private Cabin - starting from
₹6,500
/Seat
Enquire","InstaOffice, Good Earth City Centre is a well-equipped coworking space to increase business productivity. It's designed with beautiful interiors, huge windows and provides high-speed Internet Connection, Brewed Coffee and top-class services. Whether you're a Freelancer, Startup or an Enterprise, InstaOffice would fit you right.",Gurgaon,Good Earth City Centre,https://img.cofynd.com/images/original/401d25ffac2b4c743bb614210257b54ad3838b7c.jpg,https://img.cofynd.com/images/original/16cb0742b7a869edfb8829d0a9fd3871c867c26e.jpg,6000.0
Smartworks Office,"Golf Course Road, Gurugram","Dedicated Desk - starting from
₹14,000
/Seat
Enquire | Private Cabin - starting from
₹14,000
/Seat
Enquire","The Smartworks Office at Paras Downtown Centre is one of the finest commercial projects in Gurgaon. With its Flexible Workspaces, Multi-Level Basement Parking and low maintenance, this Coworking Centre provides you all the right ingredients to grow your Business. Amenities like High-Speed Wifi, Event Areas, Conference, Meeting Rooms and more ensure to fulfil all your office needs.",Gurgaon,Golf Course Road,https://img.cofynd.com/images/original/57e452f75e9121b5aa939daa54e250b40883e5e0.jpg,https://img.cofynd.com/images/original/bac2ee483221a272058f69e8dedef46b2a4e2945.jpg,14000.0
The Office Pass Sohna Road,"JMD Megapolis, Gurugram","Hot Desk - starting from
₹6,000
/Seat
Enquire | Dedicated Desk - starting from
₹6,500
/Seat
Enquire | Private Cabin - starting from
₹7,000
/Seat
Enquire","The Office Pass Coworking Space at JMD Megapolis Gurugram is designed to give you a comfortable and welcoming environment so whether you're a Freelancer, Startup or an Enterprise can work in that environment. They take care of all your office-related needs so that you can focus on your work. This intelligently designed coworking centre offers you the perfect shared office space for small teams as well as teams of more than 20 members.",Gurgaon,Jmd Megapolis,https://img.cofynd.com/images/original/d9f0b415ca64beb1ffc0ea896517eec2cbfc7302.jpg,https://img.cofynd.com/images/original/37dfbb9aa309e1db16d863303c6a232940f5bcd3.jpg,6500.0
Spring House,"Sohna Road, Gurugram","Dedicated Desk - starting from
₹6,500
/Seat
Enquire | Private Cabin - starting from
₹8,000
/Seat
Enquire","Spread across 5,000 sq.ft., Springhouse Sohna Road Coworking Space can accommodate 100+ people and gives you the perfect coworking environment. Host your client meetings, team meetings or team building sessions in the unique conference rooms. It’s strategically located on the Gurugram Sohna Road expressway with close proximity to the NH8.",Gurgaon,Sohna Road,https://img.cofynd.com/images/original/ff116d8eeacf98df6f78ef7fdfe20ce708fc5700.jpg,https://img.cofynd.com/images/original/37eb25ed73b49be2dd99b56cb56146dd4a9e3b72.jpg,6500.0
Spring House Galleria,"DLF Phase IV, Gurugram","Hot Desk - starting from
₹7,000
/Seat
Enquire | Dedicated Desk - starting from
₹8,500
/Seat
Enquire","Spring House, Galleria features state of the art ergonomic furniture built for the purpose of flexible seating options that suit your work mood. Spread across three floors, with en-suite private team studios and open seating on the ground floor making it feel like home. This coworking space offers easy access to MG Road metro station making the commute to and fro easy for all.",Gurgaon,Dlf Phase 4,https://img.cofynd.com/images/original/d233b1d58bf54b8cd1c99072088bc1b792010365.jpg,https://img.cofynd.com/images/original/335acd7b906b24bd7ba3fb293af0f862ab3cd6a4.jpg,8500.0
Spring House Grand Mall,"MG Road, Gurugram","Hot Desk - starting from
₹10,000
/Seat
Enquire | Dedicated Desk - starting from
₹10,500
/Seat
Enquire | Private Cabin - starting from
₹11,500
/Seat
Enquire","Springhouse, Grand Mall is the flagship property spread across 30,000 sq.ft. on MG Road, Gurugram and walking distance from two of the main metro stations. It has a capacity of 500 seats with all amenities needed in an office space. This facility offers conference rooms, shared workspaces, and private offices for teams of all sizes.",Gurgaon,Mg Road,https://img.cofynd.com/images/original/e163a0c1e82dc9a7946f49a02b950da220423922.jpg,https://img.cofynd.com/images/original/5b5d82761d5b3a89abc833646edc7a91d6a36427.jpg,10500.0
Desqworx Sohna Road,"JMD Megapolis, Gurugram","Hot Desk - starting from
₹7,000
/Seat
Enquire | Dedicated Desk - starting from
₹8,500
/Seat
Enquire | Private Cabin - starting from
₹8,500
/Seat
Enquire","Desqworx, Sohna Road understands your work requirements and offers exciting deals and cost-effective packages. It offers flexible workspace options such as Hot Desks, Dedicated Desks, Private Offices and Meetings Rooms for teams of all sizes. Visit Desqworx and find the perfect space for your Business.",Gurgaon,Jmd Megapolis,https://img.cofynd.com/images/original/d1ed7141c27aa5a5d4e971a38e38a8f299bc3962.jpg,https://img.cofynd.com/images/original/8a1bf4056a925174d3fde1ee4b84fb44d9f25a75.jpg,8500.0
Smartworks Office,"Sector 39, Gurugram","Dedicated Desk - starting from
₹6,500
/Seat
Enquire | Private Cabin - starting from
₹6,500
/Seat
Enquire","Smartworks at Unitech Cyber Park Gurgaon is designed by Bose International Planning and Architecture, which is known to be one of the top firms in designing commercial spaces. This centre offers unbeatable work experience with top-notch amenities and features. Their Meeting and Conference Rooms are technology-empowered and have excellent architecture, perfect for your business needs. It's in close proximity to HUDA City Metro Station and NH8.",Gurgaon,Sector 39,https://img.cofynd.com/images/original/ea8e3425e316eb5beb684552847d42fbdb87c202.jpg,https://img.cofynd.com/images/original/0861126cd951c83de19d4959a4102ca781e1f55a.jpg,6500.0
VORKZONE Sohna Road,"JMD Megapolis, Gurugram","Hot Desk - starting from
₹6,000
/Seat
Enquire | Private Cabin - starting from
₹25,000
/Seat
Enquire","VORKZONE, Sohna Road is a dynamic community of various industries and skillsets. They offer dedicated desks, conference rooms and a lounge to relax. This coworking centre is equipped with high-speed internet, printer, video and audio conferencing and designer ergonomic furniture. It’s strategically located on the Gurugram Sohna Road expressway with close proximity to the NH8.",Gurgaon,Jmd Megapolis,https://img.cofynd.com/images/original/02eadd5f7fc35ffbe9f01af36f3b1ada7519fcc7.jpg,https://img.cofynd.com/images/original/919b9d00d83a8694ecf75cb1f25c3ee981057769.jpg,25000.0
Fume Udyog Vihar - 4,"Udyog Vihar - Phase IV, Gurugram","Hot Desk - starting from
₹6,500
/Seat
Enquire | Dedicated Desk - starting from
₹7,000
/Seat
Enquire | Private Cabin - starting from
₹7,500
/Seat
Enquire | Virtual Office - ₹18,500/ Year
Enquire","Fume, Udyog Vihar is a modern and well-designed coworking space with top-notch amenities and ample lighting. It's a centre for people who have an innovative and creative mindset. It provides you with a positive work environment to ensure high efficiency, productivity. Fume is near to the Vodafone Belvedere Tower Rapid Metro Station.",Gurgaon,Udyog Vihar Phase 4,https://img.cofynd.com/images/original/8babe1df0cff3a8cb4a546dc02eec6cb6adcd3a6.jpg,https://img.cofynd.com/images/original/1dfe5bc0ce94ce83104228f871f92c6c4f0091dd.jpg,7000.0
